nm,phyto_mixA,Cryptophyta_L,Cryptophyta_H,Diatoms,Dinoflagellates,Green_algae
612,0.0095,0.011488021999999999,0.007204799999999999,0.010053524,0.014901,0.008087
613,0.0096,0.011520188999999998,0.0072959999999999995,0.010161611999999999,0.014892,0.008174
614,0.0096,0.011552224,0.0073872,0.010274392000000002,0.014888,0.008264
615,0.009699999999999999,0.011583,0.0075125999999999995,0.010390143,0.014889000000000001,0.008356
616,0.0098,0.011611443999999997,0.007638,0.010506731,0.014896000000000001,0.008447999999999999
617,0.0098,0.011636542000000001,0.0077862,0.010621675999999998,0.014907,0.008538
618,0.009899999999999999,0.011657353999999998,0.007945800000000001,0.010732561,0.014924,0.008624999999999999
619,0.01,0.011672995,0.0081168,0.010836620000000002,0.014944,0.008707999999999999
620,0.0101,0.011682733999999998,0.008287800000000001,0.010931119,0.014967999999999999,0.008785
621,0.0101,0.011685966999999998,0.008458799999999999,0.011013452999999998,0.014995,0.008855
622,0.0102,0.011682282,0.0086412,0.011081313999999998,0.015022999999999998,0.008916
623,0.0103,0.011671415999999999,0.008812200000000001,0.011132758999999999,0.015052999999999999,0.008967999999999999
624,0.0103,0.011653292999999999,0.008960399999999999,0.011166459999999998,0.01508,0.009010999999999998
625,0.0104,0.011628062999999998,0.0090972,0.011181706999999997,0.015106999999999999,0.009044
626,0.0104,0.011596047,0.0091998,0.011178483999999997,0.015128999999999998,0.009067999999999998
627,0.0104,0.011557750999999998,0.0092796,0.011157549,0.015146999999999999,0.009084
628,0.0104,0.011513890999999998,0.009325199999999999,0.011120355999999998,0.015157999999999998,0.009090999999999998
629,0.0104,0.011465292999999998,0.009325199999999999,0.011068926999999998,0.015161999999999998,0.009092999999999999
630,0.0104,0.011412971999999999,0.009302399999999999,0.011005837999999999,0.015157999999999998,0.009090999999999998
631,0.0103,0.011358075999999998,0.009245399999999999,0.010933995,0.015146,0.009087
632,0.0103,0.011301807999999998,0.009165599999999998,0.010856559000000002,0.015125999999999999,0.009084
633,0.0103,0.011245446,0.0090744,0.010776643,0.015097999999999999,0.009082999999999999
634,0.0102,0.011190436999999998,0.008960399999999999,0.010697485,0.015064999999999999,0.009089
635,0.0102,0.011138134999999999,0.0088464,0.010622149999999999,0.015026,0.009102999999999998
636,0.0101,0.01108997,0.008720999999999998,0.010553483999999998,0.014986000000000001,0.00913
637,0.0101,0.011047481999999999,0.008618399999999998,0.010494185999999999,0.014943,0.009172
638,0.01,0.011012080999999998,0.0085158,0.010446612000000001,0.014901,0.009232
639,0.01,0.010985254,0.008424599999999999,0.010412957999999998,0.014862,0.009314
640,0.01,0.010968483999999997,0.0083676,0.010395231,0.014828,0.009420999999999997
641,0.01,0.010963276,0.008322,0.010395277999999999,0.0148,0.009556
642,0.01,0.010971153999999999,0.008299200000000001,0.010414790999999998,0.01478,0.009721999999999998
643,0.01,0.010993619999999999,0.008299200000000001,0.010455317999999998,0.01477,0.009920999999999998
644,0.0101,0.011032254,0.008322,0.010518376,0.014771,0.010154999999999999
645,0.0102,0.011088671999999999,0.008379000000000001,0.010605513,0.014784,0.010424
646,0.0103,0.011164586999999998,0.008458799999999999,0.010718229999999999,0.014811,0.010726999999999999
